nazev;okres;obec;pocetMist;lon;lat
Kontaktní pracoviště Český Krumlov;CK;Český Krumlov;3833;14,31520763;48,81090725
Kontaktní pracoviště Český Těšín;KA;Český Těšín;0;18,6261313;49,74613297
Kontaktní pracoviště Dačice;JH;Dačice;0;15,43726647;49,08154307
Kontaktní pracoviště Děčín;DC;Děčín;581;14,21478126;50,78215252
Kontaktní pracoviště Dobruška;RK;Dobruška;0;16,16001314;50,29201323
Kontaktní pracoviště Dobříš;PB;Dobříš;0;14,16716673;49,7811328
Kontaktní pracoviště Domažlice;DO;Domažlice;2797;12,92976101;49,44049194
Kontaktní pracoviště Dvůr Králové nad Labem;TU;Dvůr Králové nad Labem;0;15,81402115;50,43172196
Kontaktní pracoviště Frenštát pod Radhoštěm;NJ;Frenštát pod Radhoštěm;0;18,21078;49,54834623
Kontaktní pracoviště Frýdek-Místek;FM;Frýdek-Místek;1460;18,34837676;49,68536622
Kontaktní pracoviště Frýdlant;LB;Frýdlant;0;15,0797406;50,92139437
Kontaktní pracoviště Frýdlant (Nové Město pod Smrkem);LB;Nové Město pod Smrkem;0;15,22942842;50,92490969
Kontaktní pracoviště Frýdlant nad Ostravicí;FM;Frýdlant nad Ostravicí;0;18,35966511;49,59280301
Kontaktní pracoviště Hanušovice;SU;Hanušovice;0;16,93640962;50,08048561
Kontaktní pracoviště Havířov;KA;Havířov;0;18,43687986;49,77984479
Kontaktní pracoviště Havlíčkův Brod;HB;Havlíčkův Brod;1296;15,58068643;49,60784932
Kontaktní pracoviště Hlinsko;CR;Hlinsko;0;15,90755663;49,76213095
Kontaktní pracoviště Hlučín;OP;Hlučín;89;18,19195558;49,89795224
Kontaktní pracoviště Hodonín;HO;Hodonín;1643;17,12402333;48,85761528
Kontaktní pracoviště Holešov;KM;Holešov;0;17,57832095;49,33331034
Kontaktní pracoviště Holice;PA;Holice;0;15,98589977;50,06601137
Kontaktní pracoviště Hořovice;BE;Hořovice;0;13,90268092;49,83597162
Kontaktní pracoviště Hradec Králové;HK;Hradec Králové;4171;15,83276847;50,20922841
Kontaktní pracoviště Hranice;PR;Hranice;71;17,73469167;49,54796389
Kontaktní pracoviště Humpolec;PE;Humpolec;0;15,35931926;49,54152198
Kontaktní pracoviště Hustopeče;BV;Hustopeče;115;16,73762112;48,94084664
Kontaktní pracoviště Cheb;CH;Cheb;1841;12,37392181;50,07963461
Kontaktní pracoviště Chomutov;CV;Chomutov;5346;13,41778558;50,46047542
Kontaktní pracoviště Chotěboř;HB;Chotěboř;0;15,67018171;49,72071788
Kontaktní pracoviště Chrudim;CR;Chrudim;2651;15,79557574;49,95109228
Kontaktní pracoviště Ivančice;BO;Ivančice;0;16,37751824;49,10144459
Kontaktní pracoviště Jablonec nad Nisou;JN;Jablonec nad Nisou;1368;15,17107709;50,72430762
Kontaktní pracoviště Jablonec nad Nisou (Železný Brod);JN;Železný Brod;0;15,25407751;50,64273995
Kontaktní pracoviště Jablunkov;FM;Jablunkov;0;18,76458245;49,57671619
Kontaktní pracoviště Jaroměř;NA;Jaroměř;0;15,92136451;50,35619571
Kontaktní pracoviště Javorník;JE;Javorník;0;17,00271692;50,390772
Kontaktní pracoviště Jeseník;JE;Jeseník;298;17,20464307;50,22937015
Kontaktní pracoviště Jeseník (Vidnava);JE;Vidnava;0;17,18625534;50,37233919
Kontaktní pracoviště Jeseník (Zlaté Hory);JE;Zlaté Hory;0;17,3960176;50,2637981
Kontaktní pracoviště Jičín;JC;Jičín;1678;15,3516249;50,43722624
Kontaktní pracoviště Jičín (Hořice);JC;Hořice;0;15,63183396;50,36609035
Kontaktní pracoviště Jičín (Nová Paka);JC;Nová Paka;0;15,5158558;50,4945183
Kontaktní pracoviště Jihlava;JI;Jihlava;2652;15,59124485;49,39610008
Kontaktní pracoviště Jihlava (Polná);JI;Polná;0;15,71881008;49,48699746
Kontaktní pracoviště Jilemnice;SM;Jilemnice;0;15,50652933;50,60889644
Kontaktní pracoviště Jindřichův Hradec;JH;Jindřichův Hradec;1358;15,0030077;49,14404472
Kontaktní pracoviště Jirkov;CV;Jirkov;0;13,44768971;50,49979298
Kontaktní pracoviště Kadaň;CV;Kadaň;0;13,27130767;50,37598332
Kontaktní pracoviště Kadaň (Vejprty);CV;Vejprty;0;13,03212012;50,49231545
